"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4269","TC017_@sanity_Clinical Trial Landing Page_Validate the working of View BY dropdown filter on clinical trial landing page in desktop view/iPad view, mobile view","chromium","Fri Jun 27 14:58:55 IST 2025","passed","Fri Jun 27 14:59:00 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","7168","TC001_@sanity_MemberLandingPage_ Validate navigation to Member landing page","webkit","Fri Jun 27 15:31:27 IST 2025","passed","Fri Jun 27 15:31:34 IST 2025","","Member_Landing_Page/Member_Landing_Page.spec.ts","",""
"","15631","TC002_@sanity_EventDetailPage_Validation of Event Date Range Format Display on the Event Detail Page on Desktop/Mobile","webkit","Fri Jun 27 15:23:39 IST 2025","passed","Fri Jun 27 15:23:55 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","19702","TC006_@sanity_EventDetailPage_Verify Labels Color and Icon for Date, When, Where on Events Detail Page on Desktop/Mobile","MobileChrome","Fri Jun 27 15:38:58 IST 2025","passed","Fri Jun 27 15:39:18 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","3834","TC006_@sanity_DCI Blog Page_Validating the working of the Search filter, validate the filtered DCI Blog cards visible after search are correct, validate incorrect search result validaion ,validation of Pagination Logic on Search filtered results in Deskop/Mobile","MobileChrome","Fri Jun 27 15:37:26 IST 2025","passed","Fri Jun 27 15:37:29 IST 2025","","DCI_Blog_Landing/DCI_Blog_Landing.spec.ts","",""
"","8246","TC007_@sanity_EventsLandingPage_Validate Events Type Filter - Professional Selection on Desktop/Mobile","chromium","Fri Jun 27 15:11:36 IST 2025","passed","Fri Jun 27 15:11:44 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","15955","TC008_@sanity_EventDetailPage_Verify Address in ""Where"" Section on Events Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:08:55 IST 2025","passed","Fri Jun 27 15:09:11 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","8531","TC012_@sanity_Clinical Trial Landing Page_Validate the UI of Category filter on clinical trial landing page in desktop view/iPad view/mobile view","webkit","Fri Jun 27 15:20:04 IST 2025","passed","Fri Jun 27 15:20:13 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","4670","TC016_@sanity_Clinical Trial Landing Page_Validate the UI of View BY filter on clinical trial landing page in desktop view/iPad view/mobile view","webkit","Fri Jun 27 15:21:16 IST 2025","passed","Fri Jun 27 15:21:21 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","3949","TC001_@sanity_EventsLandingPage_Verify Page Loads Successfully on Desktop/Mobile","chromium","Fri Jun 27 15:11:12 IST 2025","passed","Fri Jun 27 15:11:16 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
